titelde,SDGs,lernergebnissedeUNDlerninhaltede
Implementierung digitaler Systeme zur Echtzeit-Signalverarbeitung,"4, 9, 12","Die Teilnehmerinnen und Teilnehmer des Moduls sind ueber unterschiedliche technische Moeglichkeiten der Implementierung digitaler Systeme zur Echtzeit-Signalverarbeitung und deren Vor- und Nachteile informiert. Die Implementierung auf Field Programmable Gate Array (FPGA) Plattformen wird im Theorie- und Praxisteil des Moduls vertieft. Als Entwurfs- und Implementierungswerkzeug kommt hauptsaechlich das High-Level Tool DSP-Builder for Intel(R) FPGAs, (c) Intel Corp., zum Einsatz, das durch die Verknuepfung mit MATLAB und Simulink, (c) The Mathworks Inc., eine sehr hohe Effizienz der Implementierungsarbeit ermoeglicht. Die Teilnehmerinnen und Teilnehmer sind durch uebungsbeispiele und die Projektarbeit im Umgang mit diesen Werkzeugen und den verschiedenen Phasen der Konzeptions- und Implementierungsarbeit vertraut. Sie kennen die typischen Komponenten von Echtzeit-Signalverarbeitungssystemen und den systematischen Ansatz derartige Systeme und Komponenten zu konzeptionieren, zu entwerfen, zu modellieren, zu testen und bezueglich der erforderlichen Hardwareressourcen und der Leistungsfaehigkeit zu evaluieren. Folgende Themen werden im Vorlesungs- und im praktischen uebungsteil behandelt: Plattformen fuer digitale Signalverarbeitung - DSP mit vorgegebener Architektur sowie Architekturentwurf auf FPGA; FPGA Design-Flow - klassisch und high-level; Fixed-Point und Floating Point Zahlenformate und Arithmetik; Signalerzeugung und Signalanalyse; Signal- und Konfigurationsschnittstellen; Systemsteuerung mit Zustandsautomaten (finite-state machines); Takterzeugung fuer synchrone und asynchrone Systeme; Metastabile Zustaende; im FPGA eingebettete Microcontroller, Systematisierung von Signalen und Systemkomponenten, Leitlinien fuer zuverlaessige Designs."
Praktikum: Intelligente Softwaresysteme,"4, 9","Absolventen und Absolventinnen des Moduls ... - haben Methoden der Softwaretechnik praktisch anhand einer komplexen Aufgabenstellung erprobt, - haben Teamerfahrungen gesammelt und ihre Teamfaehigkeiten verbessert, - haben Qualitaetssoftware mit modernen Werkzeugen der Softwareentwicklung implementiert. Programmierpraktikum: Eine praxisnahe, aktuelle Aufgabenstellung wird softwaretechnisch umgesetzt.  Einsatz moderner Softwareentwicklungs-, Kommunikations- und Projektmanagement-Werkzeuge in einem iterativen  agilen Entwicklungsprozess. Software-Analyse und -Design, Implementierung, Dokumentation, Evaluation und Test.  Zwischenpraesentationen und Abschlusspraesentation."
Grundlagen der Kommunikationswissenschaft,"4, 16","Die Studierenden haben einen ueberblick ueber die Publizistik- und Kommunikationswissenschaft (Entwicklung und Systematik des Faches, seiner Forschungsfelder und Teildisziplinen, Grundzuege der Kommunikationsgeschichte, Kommunikations- und Medientheorien, Theorien der oeffentlichkeit). Darueber hinaus sind sie befaehigt, sich im fachlichen Zusammenhang zu orientieren, grundlegende kommunikations- und medientheoretische Fragen zu erkennen bzw. zu analysieren sowie Ansaetze und Problemstellungen der Publizistik- und Kommunikationswissenschaft nachzuvollziehen und besitzen Kenntnisse ueber die historischen, oekonomischen, politischen und rechtlichen Strukturen und Mechanismen, die das deutsche Mediensystem bestimmen. Das Modul fuehrt ueberblicksartig in die Fachsystematik und -entwicklung, die zentralen Grundbegriffe und -konzepte (Kommunikation, Medien, oeffentlichkeit) sowie Teildisziplinen und Forschungsfelder der Publizistik- und Kommunikationswissenschaft ein. Es gibt ausserdem einen ueberblick ueber die Geschichte und die Strukturen des Mediensystems unter besonderer Beruecksichtigung der Verflechtung von oekonomie, Politik, Recht und Kultur. Dabei werden die technische Infrastruktur einzelner Medien (Presse, Rundfunk, Film, Fernsehen), konvergente Entwicklungen (Digitalisierung, Medienintegration, Medienkonzentration), die Herausbildung unterschiedlicher Medien- und Kommunikationskulturen sowie die gesellschaftlichen Metaprozesse (Globalisierung, Individualisierung) behandelt."
"Methoden: Wissenschaftstheoretische Grundlagen, Datenerhebung und Statistik","4, 16","Studentinnen und Studenten verfuegen ueber Grundkenntnisse wissenschaftstheoretischer Positionen und grundlegender Begriffe sozialwissenschaftlicher Methodologie. Sie kennen den Stellenwert quantitativer und qualitativer Erhebungstechniken im sozialwissenschaftlichen Forschungsprozess. Darueber hinaus haben Sie Kenntnis von Grundbegriffen, Methoden und Verfahren der statistischen Datenanalyse in der Markt-, Meinungs-, PR-Evaluations- und Medienforschung. Das Modul bietet eine Einfuehrung in die Grundlagen und Verfahren der sozialwissenschaftlichen Kommunikations- und Medienforschung. Nach einem ueberblick ueber die erkenntnistheoretischen Grundlagen sozialwissenschaftlicher Forschungslogik werden die Arbeitsschritte des Forschungs-prozesses (Begriffs- und Hypothesenbildung, Operationalisierung, Messung, Stichprobenverfahren), ausgewaehlte Verfahren der Datenerhebung (Befragung, Inhaltsanalyse, Beobachtung) sowie unterschiedliche Forschungsdesigns vorgestellt und anhand von Beispielstudien aus der Forschungsliteratur diskutiert.  Es wird in die Logik der mathematischen Statistik als Grundlage ihrer Anwendung in der empirischen Kommunikationsforschung eingefuehrt. Vor dem Hintergrund der grundlegenden Verfahren und messtheoretischen Voraussetzungen der Erhebung und Auswertung sozialwissenschaftlicher Daten werden zunaechst die wichtigsten univariaten und bivariaten Masszahlen der deskriptiven Statistik vorgestellt. Im Mittelpunkt steht die Einfuehrung in die wahrscheinlichkeitstheoretischen Grundlagen statistischer Stichproben- und Schaetzverfahren, insbesondere die schliessende Statistik und die Logik und Anwendung statistischer Testverfahren."
Projekt Medienerstellung (5 LP),"4, 9, 11","Die Studierenden haben: - Faehigkeiten, technisches und sozialwissenschaftliches Wissen in konkreten Anwendungsbezuegen zu verknuepfen, um praktische Probleme der digitalen Medienproduktion zu bearbeiten - Praktische Kenntnisse bei der Konzeption, Gestaltung, Erstellung und Bearbeitung von Medien - Praktische Kenntnisse bei der Konzeption, Gestaltung und Erstellung von Mediensystemen - Praktische Kenntnisse bei der Evaluierung von Mediensystemen - Praktische Erfahrung bei der Arbeit in interdisziplinaer zusammensetzten Teams - Faehigkeiten bei der Darstellung des erarbeiteten Stoffs an andere - Praktische Kenntnisse des Projektmanagements und praktische Erfahrung der Projektorganisation Im Modul entwickeln die Studierenden unter Rueckgriff auf die Studieninhalte digitale Medien. Dabei werden sowohl die Informatik-Kompetenzen wie auch gestalterische und analytisch-sozialwissenschaftliche Kompetenzen eingesetzt. Das Projekt beinhaltet hierzu die komplette Erstellung eines digitalen Mediums von der Konzeption, Gestaltung, Aufnahme, und Post-Produktion bis zur Evaluation. Die jeweilige Projektaufgabe wird jedes Semester neu definiert und in einem Team mit interdisziplinaeren Kompetenzen geloest. Dabei steht eine Vielzahl aus verschiedenen Projekt zur Wahl. Die meisten der angebotenen Projekte beziehen Nachhaltigkeitsaspekte mit ein, jeweils im Rahmen der spezifischen Frage- oder Aufgabenstellung. Das Team organisiert sich selbststaendig; eine regelmaessige Betreuung wird durch die Dozenten garantiert. Abschliessend erfolgt eine Praesentation des Projektergebnisses und die Abgabe der Projektunterlagen."
Wissenschaftliches Arbeiten in der Medieninformatik,"4, 5","Die Studierenden verfuegen ueber Faehigkeiten und Fertigkeiten des kommunikationswissenschaftlichen Arbeitens, die sie qualifizieren, eigenstaendig wissenschaftliche Referate, Praesentationen und Hausarbeiten anzufertigen und im Rahmen des Seminars vorzustellen. Im Modul werden die fachspezifischen Techniken des kommunikationswissenschaftlichen Arbeitens vermittelt. Die Studierenden werden durch eigene uebungen in die Lage versetzt, Referate, Praesentationen, und wissenschaftliche Hausarbeiten methodisch und formal korrekt anzufertigen. Es werden neben allgemeinen Arbeitstechniken (Zeitplanung, Entwicklung von Gliederungen, formale Regeln etc.) vor allem fachspezifische Kenntnisse der Recherchewege und -ressourcen (Datenbanken, Bibliotheken, Bibliographien, Fachzeitschriften) vermittelt. Dabei werden auch Aspekte gendergerechter Kommunikation thematisiert. Im Rahmen dieses Moduls sollen sie an das Format einer wissenschaftlichen Hausarbeit herangefuehrt werden."
Methoden der empirischen Kommunikationsforschung,"4, 5, 9, 16","Die Studierenden verfuegen ueber vertiefte, anwendungsbezogene Kenntnisse kommunikationswissenschaftlicher Methodologie. Sie haben instrumentelles Wissen, um Forschungsdesigns und Techniken der Datenerhebung der empirischen Kommunikations- und Medienforschung problemgerecht einzusetzen.  Im Modul entwickeln die Studierenden ein eigenes Forschungsprojekt, das die Anwendung der erlernten Methoden der Datenerhebung (Befragung, Beobachtung, Inhaltsanalyse etc.) sowie der statistischen Datenanalyse erlaubt. Die einzelnen Projektschritte werden im Seminar diskutiert, der angemessene Einsatz der jeweiligen Methoden und deren Grenzen werden dabei kritisch reflektiert."
Interdisziplinaeres Medienprojekt,"4, 9, 11, 17","Die Studierenden besitzen: - Faehigkeiten, technisches und sozialwissenschaftliches Wissen in konkreten Anwendungsbezuegen zu verknuepfen, um praktische Probleme der digitalen Medienproduktion oder Medienanalyse zu bearbeiten - Kenntnisse bei der Bearbeitung medieninformatischer Systeme, inklusive der Teilbereiche Informatik, Medienkommunikation und Medientechnik. - Kenntnisse bei der praktischen Realisierung von Mensch-Maschine-Schnittstellen. - Praktische Kenntnisse bei der Gestaltung von Mediensystemen. - Praktische Kenntnisse von Gestaltungs- und Entwicklungsprozessen von Mediensystemen. - Praktische Kenntnisse bei der Evaluierung von Mediensystemen. - Praktische Erfahrung bei der Arbeit in interdisziplinaer zusammensetzten Teams. - Faehigkeiten bei der Darstellung des erarbeiteten Stoffs an andere. Im Modul entwickeln die Studierenden unter Rueckgriff auf die Studieninhalte Loesungen fuer technische undoder sozialwissenschaftliche Probleme im Zusammenhang mit digitalen Medien. Dabei werden sowohl die Informatik-Kompetenzen wie auch die analytischen sozialwissenschaftlichen Kompetenzen eingesetzt. Das Projekt beinhaltet hierzu eine Aufgabe aus dem Bereich der Konzeption, Entwicklung undoder Nutzung eines Systems zur Gestaltung, Aufnahme, uebertragung undoder Darstellung von Medien, welche jedes Semester neu definiert wird. Diese Aufgabe soll in einem Team mit interdisziplinaeren Kompetenzen geloest werden. Das Team organisiert sich selbststaendig; eine regelmaessige Betreuung wird durch die Dozenten garantiert. Abschliessend erfolgt eine Praesentation des Projektergebnisses und eine schriftliche Ausarbeitung."
Medienwirkung und oeffentlichkeit,"4, 9, 16","Die Studierenden haben einen systematischen und fachgeschichtlich fundierten ueberblick ueber wesentliche Fragestellungen, Untersuchungsansaetze und Befunde der empirischen Kommunikations- und Medienforschung. Sie sind in der Lage, Forschungsarbeiten kritisch zu reflektieren und die Relevanz verschiedener theoretischer und methodischer Zugaenge zu bewerten. Das Modul gibt einen ueberblick ueber Fragestellungen, Theorien und Ergebnisse der sozialwissenschaftlichen Kommunikationsforschung. Ausgehend von den historischen und systematischen Grundlagen der Kommunikationswissenschaft werden theoretische Modelle der Massenkommunikation und oeffentlichkeit praesentiert und analysiert und die verschiedenen Fragestellungen und Untersuchungsansaetze der empirischen Kommunikationsforschung diskutiert, insbesondere Medienwirkungs- und Mediennutzungsforschung, sowie die Funktionen der Medien im Rahmen politischer Thematisierungsprozesse und bei der Konstitution gesellschaftlicher oeffentlichkeit."
Journalismusforschung und Organisationskommunikation,"4, 9, 16","Die Studierenden sind in der Lage, Strukturen und Prozesse in den Bereichen Journalismus und Organisationskommunikation analytisch zu beschreiben und methodisch zu analysieren. Das Modul vermittelt einen ueberblick ueber Fragestellungen, Theorien und Befunde in den Forschungsbereichen Journalistik und Organisationskommunikation. Behandelt werden Probleme der Informationsvermittlung durch das Mediensystem, insbesondere Probleme der Informationsbeschaffung (RechercheThematisierung) und der Informationsbearbeitung (TransformationSelektionDiffusion) durch Nachrichtenagenturen, Radio, Fernsehen, Presse und interaktive Medien sowie Ansaetze zum Verhaeltnis von Journalismus und oeffentlichkeitsarbeit. Dabei wird das Verhaeltnis von professioneller und partizipativer Kommunikation analysiert. Es werden theoretische Modelle und empirische Befunde zu den Berufsfeldern Journalismus und OrganisationskommunikationPR beleuchtet. Eingebunden ist die Analyse von Geschlechter- und Diversity-Strukturen in diesen Berufsfeldern. Weiter werden theoretische Ansaetze und empirische Studien zu Voraussetzungen, Prozessen und Wirkungen der internen und externen Kommunikation von Organisationen dargestellt."
Bild- und Videocodierung,"4, 9, 12","Die Studierenden sind in der Lage, moderne Verfahren der Bild- und Videocodierung einschliesslich der Grundlagen zum menschlichen visuellen System, Kameras und Displays, Bild- und Videosignalverarbeitung, der Informations- und Rate-Distortion-Theorie und der Kompression zu verstehen und weiter zu entwickeln.  Digitale Bild- und Videodaten sind omnipraesent und stellen die groesste Anzahl von Bits im Internet. Die Codierung dieser Signale ist ein fundamental wichtiges Thema welches unter Einbeziehung von interdisziplinaeren Ansaetzen bearbeitet wird. Daher werden in diesem Modul die Themen folgende Themen behandelt: •	Kameras, Displays und das menschliche visuelle System •	Bild- und Videosignalverarbeitung •	Informations- und Rate-Distortion-Theorie •	Grundlagen der Kompression •	Moderne Verfahren der Bild- und Videocodierung •	Bild- und Videocodierstandards: JPEG-x, MPEG-x und ITU-T (H.26x) "
Rechnernetze - Ergaenzung,"4, 9","Die Studierenden erlangen in Vergleich zu dem Pflichtmodul Rechnernetze und Verteilte Systeme vertiefende Kenntnisse ueber Kommunikationsnetze. Insbesondere erlernen Sie Details einzelner Protokollmechanismen und bekommen ein Verstaendnis unterschiedlicher Rechnernetzarchitekturen. Durch das begleitende Praktikum haben sie fuer ausgewaehlte Protokollmechanismen vertiefende Kenntnisse erlangt. * Kurzer ueberblick ueber die Grundlagen der Nachrichtentechnik (Kanaleigenschaften, analoge und digitale uebertragung), Bitsynchronisation, * Telefonnetze * Das ISO-OSI Schichtenmodell, Protokollmechanismen (vertiefung) * Fehlererkennung und -behebung, Flusskontrolle, Packet-Framing, Mehrfachzugriffsverfahren, Medium Access Control, MAC) - detalierte Behandlung * Local Area Network (LAN)-Technologien, insbesondere die Familie der 802.x-Protokolle wie z.B. Ethernet und Wireless LAN - detaliert * Link Layer Protokolle (HDLC), Bridging * Verbindungsmanagement, Flusskontrolle und ueberlastabwehr * Vergleich der Internet-Architektur mit der Telefonnetzarchitektur * Dienstqualitaetsunterstuetzung in Paketbasierten Netzen * Multimedia uebertragung"
Kommunikationsnetze,"4, 9","Die Studierenden haben in diesem Modul einen ueberblick ueber die grundlegende Problematik der Kommunikationsnetze erhalten und kennen nun die fuer Kommunikationsnetze wichtigen Protokollmechanismen. Weiterhin haben die Studierenden gelernt, alternative Protokollarchitekturen und deren spezielle Auspraegungen wie sie in Telefonnetzen, lokalen Netzen, Internet und Anwendungsdiensten verwendet werden, detailliert zu verstehen und analysieren. * Grundkonzepte der Kommunikation   * Kurzer ueberblick ueber die Grundlagen der Nachrichtentechnik (Kanaleigenschaften, analoge und digitale uebertragung), Bitsynchronisation,   * Leitungs- und Paketvermittlung, Multiplexverfahren  * Telefonnetze  * Das ISO-OSI Schichtenmodell, Protokollmechanismen  * Fehlererkennung und -behebung, Flusskontrolle, Packet-Framing, Mehrfachzugriffsverfahren, Medium Access Control, MAC)  * Local Area Network (LAN)-Technologien, insbesondere die Familie der 802.x-Protokolle wie z.B. Ethernet und Wireless LAN  * Link Layer Protokolle (HDLC), Bridging  * Aufbau grosser Netze aus Teilnetzen, Weiterleiten von Paketen, Wegewahl (Routing) von Paketen  * Verbindungsmanagement, Flusskontrolle und ueberlastabwehr  * Das Internet, Architektur und Protokolle im Internet  * Dienstqualitaetsunterstuetzung in Paketbasierten Netzen  * Einheitliche Darstellung von Information in heterogenen Systemen, Nutzung entfernter Rechner (Remote Procedure Call)   * Applikationsdienste und -protokolle: Web, Multimedia, uebertragung"
